date,r_sim_MCM,r_obs_MCM
1995-10-01,246.79624320000002,126.488
1995-10-02,248.4298944,234.137
1995-10-03,242.43796799999998,200.864
1995-10-04,237.18398399999998,165.633
1995-10-05,236.2070592,168.813
1995-10-06,230.62648319999997,184.716
1995-10-07,224.191152,178.844
1995-10-08,220.34661119999998,162.697
1995-10-09,215.89390079999998,192.301
1995-10-10,211.5062496,201.353
1995-10-11,210.9481056,266.432
1995-10-12,214.3110528,275.484
1995-10-13,220.0732416,204.289
1995-10-14,224.07537599999998,139.944
1995-10-15,224.97030719999998,139.455
1995-10-16,225.7507584,222.883
1995-10-17,226.9950048,217.5
1995-10-18,228.0036384,158.293
1995-10-19,230.1841152,192.79
1995-10-20,230.41290239999998,207.469
1995-10-21,228.7021824,176.887
1995-10-22,227.1049056,211.139
1995-10-23,226.04641919999997,221.904
1995-10-24,225.4004064,205.512
1995-10-25,225.07104959999998,235.36
1995-10-26,225.41829119999997,193.034
1995-10-27,226.5566112,179.089
1995-10-28,227.28167999999997,161.963
1995-10-29,226.9465344,216.766
1995-10-30,226.5300864,239.764
1995-10-31,228.0586752,212.607
1995-11-01,229.115952,214.075
1995-11-02,229.9291488,216.032
1995-11-03,230.85501119999998,204.533
1995-11-04,229.9326048,180.802
1995-11-05,228.87377279999998,160.006
1995-11-06,228.597984,237.317
1995-11-07,232.38826559999998,200.374
1995-11-08,274.34099519999995,193.768
1995-11-09,309.4393536,197.928
1995-11-10,299.35992959999993,198.172
1995-11-11,278.2113696,146.305
1995-11-12,262.55914559999997,142.88
1995-11-13,255.41352,204.044
1995-11-14,253.35141119999997,180.312
1995-11-15,251.8234272,220.436
1995-11-16,248.32267199999998,221.415
1995-11-17,250.081344,229.244
1995-11-18,265.2050592,184.961
1995-11-19,280.26630719999997,222.393
1995-11-20,285.98598719999995,293.589
1995-11-21,285.29262719999997,278.175
1995-11-22,281.4225984,244.168
1995-11-23,277.6566816,187.407
1995-11-24,278.28792,246.859
1995-11-25,284.0583168,288.451
1995-11-26,288.1306944,264.474
1995-11-27,288.4830336,300.684
1995-11-28,286.6034015999999,280.866
1995-11-29,285.1211232,331.51
1995-11-30,285.0382656,271.08
1995-12-01,281.5661952,227.776
1995-12-02,270.8790336,287.472
1995-12-03,256.9709664,319.278
1995-12-04,246.586896,295.057
1995-12-05,255.8520864,335.914
1995-12-06,262.32966719999996,360.38
1995-12-07,259.5742848,373.102
1995-12-08,254.94721919999998,413.471
1995-12-09,254.8256544,391.696
1995-12-10,256.67625599999997,355.731
1995-12-11,256.2340608,359.401
1995-12-12,255.8474208,337.872
1995-12-13,260.607888,414.449
1995-12-14,271.1302848,343.743
1995-12-15,281.7864288,382.644
1995-12-16,288.7596,333.957
1995-12-17,288.7667712,355.242
1995-12-18,283.30914240000004,349.126
1995-12-19,276.24974399999996,387.537
