date,r_sim_MCM,r_obs_MCM
1996-03-04,0.38033279999999997,0.932
1996-03-05,0.3815424,0.687
1996-03-06,0.3826656,0.585
1996-03-07,0.38361600000000007,0.582
1996-03-08,0.3845664,0.58
1996-03-09,0.3855168,0.575
1996-03-10,0.38689919999999994,0.572
1996-03-11,0.8940672000000001,0.57
1996-03-12,0.9060768,0.568
1996-03-13,0.9133344,0.565
1996-03-14,0.9164447999999998,0.563
1996-03-15,0.9186047999999999,0.56
1996-03-16,0.9221472,0.563
1996-03-17,0.9241344,0.56
1996-03-18,0.8511264,0.558
1996-03-19,0.8522496,0.555
1996-03-20,0.8540639999999999,0.768
1996-03-21,0.8551008,0.979
1996-03-22,0.855792,0.974
1996-03-23,0.8569151999999999,0.969
1996-03-24,0.8573471999999999,0.966
1996-03-25,0.88344,0.964
1996-03-26,0.883008,0.962
1996-03-27,0.8825759999999999,0.952
1996-03-28,0.8817983999999999,0.749
1996-03-29,0.8806751999999999,0.538
1996-03-30,0.8798976,0.541
1996-03-31,0.8797248,0.543
1996-04-01,1.2167712,0.465
1996-04-02,1.2200544,0.289
1996-04-03,1.2161664,0.203
1996-04-04,1.2047616,0.206
1996-04-05,1.1933567999999999,0.206
1996-04-06,1.2013056,0.208
1996-04-07,1.2380256,0.213
1996-04-08,1.4214528,0.208
1996-04-09,2.1640608,0.213
1996-04-10,2.7546048,0.218
1996-04-11,2.3391072,0.223
1996-04-12,2.0379168,0.639
1996-04-13,1.8614880000000003,1.13
1996-04-14,2.0815487999999998,1.133
1996-04-15,3.221856,1.26
1996-04-16,3.2743872,1.409
1996-04-17,2.6542079999999997,1.517
1996-04-18,2.357424,1.62
1996-04-19,2.0984832,1.62
1996-04-20,2.0320416,1.62
1996-04-21,2.1071232,1.62
1996-04-22,3.0163968,1.309
1996-04-23,4.372185599999999,1.023
1996-04-24,4.1050368,1.028
1996-04-25,3.668112,1.85
1996-04-26,3.0214079999999996,2.801
1996-04-27,2.5947647999999996,2.794
1996-04-28,2.4853823999999998,2.787
1996-04-29,2.7140832,1.568
1996-04-30,2.9673216,0.514
1996-05-01,2.6737344,0.631
1996-05-02,2.5105248,0.56
1996-05-03,2.3761727999999995,0.504
1996-05-04,2.3053247999999997,0.494
1996-05-05,2.3049792,0.484
1996-05-06,2.2889088,0.421
1996-05-07,2.180304,0.245
1996-05-08,2.0640096,0.169
1996-05-09,2.0267711999999998,0.169
1996-05-10,2.13624,0.169
1996-05-11,2.3540544,0.169
1996-05-12,3.2433696,0.169
1996-05-13,3.8864447999999996,0.169
1996-05-14,3.5578656,0.492
1996-05-15,3.2424191999999996,1.351
1996-05-16,3.0971808000000003,1.691
1996-05-17,3.2531328,1.507
1996-05-18,3.6332064,1.522
1996-05-19,3.487104,1.612
1996-05-20,3.0908736,1.583
1996-05-21,3.5578656,1.424
1996-05-22,4.2984,1.436
1996-05-23,3.8294208000000003,1.556
1996-05-24,3.3992352,1.527
1996-05-25,3.625776,1.527
1996-05-26,3.6837504,1.654
1996-05-27,3.4770816,1.654
1996-05-28,3.8892096,1.468
1996-05-29,3.6967103999999997,1.409
1996-05-30,3.0605472000000002,1.348
1996-05-31,3.1189535999999993,1.152
1996-06-01,3.5741088,1.02
1996-06-02,3.7558944,1.074
1996-06-03,3.9378527999999995,1.351
1996-06-04,3.6578304,1.47
1996-06-05,3.4060607999999997,1.351
1996-06-06,3.6770975999999993,1.238
1996-06-07,3.6850464,1.238
1996-06-08,3.2517504,1.238
1996-06-09,2.932416,1.128
1996-06-10,2.8284768000000002,0.971
1996-06-11,2.8489535999999993,0.873
1996-06-12,2.8581119999999998,0.824
1996-06-13,2.8528415999999996,0.776
1996-06-14,2.8011744,0.776
1996-06-15,2.666304,0.734
1996-06-16,2.425248,0.692
1996-06-17,2.2749984,0.651
1996-06-18,2.1581856,0.609
1996-06-19,2.137968,0.55
1996-06-20,2.259792,0.499
1996-06-21,2.1939552,0.482
1996-06-22,2.1599136,0.482
1996-06-23,2.4636096,0.516
1996-06-24,2.3179391999999996,0.568
1996-06-25,2.2638528,0.568
1996-06-26,2.2104576,0.568
1996-06-27,2.0947679999999997,0.533
1996-06-28,1.9372608,0.516
1996-06-29,1.9300895999999998,0.499
1996-06-30,1.9295711999999998,0.465
1996-07-01,2.1705408,0.465
1996-07-02,2.1696767999999995,0.482
1996-07-03,2.1688992000000002,0.482
1996-07-04,2.1688127999999995,0.465
1996-07-05,2.1683808,0.431
1996-07-06,2.166912,0.369
1996-07-07,2.1653568,0.323
1996-07-08,2.5112159999999997,0.338
1996-07-09,2.5066368,0.352
1996-07-10,2.500848,0.303
1996-07-11,2.4942816,0.291
1996-07-12,2.4877152,0.291
1996-07-13,2.4813216,0.291
1996-07-14,2.4750143999999996,0.291
1996-07-15,2.6720927999999997,0.291
1996-07-16,2.6655263999999996,0.267
1996-07-17,2.6584415999999993,0.237
1996-07-18,2.6511839999999998,0.237
1996-07-19,2.644704,0.267
1996-07-20,2.6383104,0.267
1996-07-21,2.6310528,0.267
1996-07-22,2.7825984000000004,0.237
1996-07-23,2.7724896,0.225
1996-07-24,2.7625536,0.21
1996-07-25,2.7527904,0.198
1996-07-26,2.7430272,0.208
1996-07-27,2.7328319999999997,0.237
1996-07-28,2.7218592,0.183
1996-07-29,2.7995328,0.281
1996-07-30,2.7853632,0.411
1996-07-31,2.7711072,0.443
1996-08-01,2.7568512000000003,0.516
1996-08-02,2.7425952,0.68
1996-08-03,2.7290303999999996,0.685
1996-08-04,2.7155519999999997,0.695
1996-08-05,2.833488,0.707
1996-08-06,2.8090368,0.717
1996-08-07,2.7844127999999997,0.727
1996-08-08,2.7597887999999995,0.8
1996-08-09,2.7352512,0.871
1996-08-10,2.7108,0.974
1996-08-11,2.6865216,1.152
1996-08-12,2.9623104,1.213
1996-08-13,2.9223072,1.16
1996-08-14,2.8828224,1.289
1996-08-15,2.8436831999999996,3.044
1996-08-16,2.8050623999999997,3.398
1996-08-17,2.7668736,3.207
1996-08-18,2.7291168,3.068
1996-08-19,2.496528,3.004
1996-08-20,2.4665471999999995,2.977
1996-08-21,2.4369984,2.948
1996-08-22,2.4077088,2.919
1996-08-23,2.3787648,2.505
1996-08-24,2.3501664,2.513
1996-08-25,2.3218272,2.576
1996-08-26,1.1987999999999999,2.505
1996-08-27,1.189296,2.451
1996-08-28,1.1798784,2.368
1996-08-29,1.1705472,2.214
1996-08-30,1.1613887999999999,2.131
1996-08-31,1.1522304,2.119
1996-09-01,1.1431584,2.114
1996-09-02,0.3085344,2.131
1996-09-03,0.3055104,2.097
1996-09-04,0.30248639999999993,2.006
1996-09-05,0.300672,1.943
1996-09-06,0.3016224,1.908
1996-09-07,0.3022272,1.903
1996-09-08,0.3011904,1.899
1996-09-09,0.36305279999999995,2.314
1996-09-10,0.35674559999999994,2.723
1996-09-11,0.3497472,2.664
1996-09-12,0.34248959999999995,2.615
1996-09-13,0.3358368,2.584
1996-09-14,0.32961599999999996,2.535
1996-09-15,0.3316032,2.52
1996-09-16,0.43934399999999996,2.403
1996-09-17,0.4439232,2.346
1996-09-18,0.4433184,2.398
1996-09-19,0.43908479999999994,2.417
1996-09-20,0.43960319999999997,2.395
1996-09-21,0.4370112,2.371
1996-09-22,0.44254079999999996,2.356
1996-09-23,0.6334847999999998,2.752
1996-09-24,0.5992704,2.659
1996-09-25,0.5518367999999999,2.559
