date,r_sim_MCM,r_obs_MCM
2003-09-21,1.5553954999999997,1.248
2003-09-22,1.5731651428571427,1.223
2003-09-23,2.2472215999999996,1.248
2003-09-24,2.2628142857142857,1.248
2003-09-25,2.2759466285714285,1.321
2003-09-26,2.2865791999999994,1.272
2003-09-27,2.3130541714285715,1.248
2003-09-28,2.416761828571428,1.272
2003-09-29,2.472508571428571,0.807
2003-09-30,2.502455885714286,0.807
2003-10-01,0.7088234571428578,0.807
2003-10-02,0.7013306000000011,0.807
2003-10-03,0.6971495857142865,0.807
2003-10-04,0.6926388857142862,0.807
2003-10-05,0.6896867000000009,0.807
2003-10-06,0.7043127571428585,0.807
2003-10-07,0.711296100000001,0.587
2003-10-08,1.3188954285714285,0.587
2003-10-09,1.3234849285714283,0.587
2003-10-10,1.3289551428571424,0.563
2003-10-11,1.3303545,0.122
2003-10-12,1.334317714285714,0.122
2003-10-13,1.3377133571428568,0.587
2003-10-14,1.3358540714285712,0.587
2003-10-15,0.8418758057142863,0.587
2003-10-16,0.8389704342857147,0.122
2003-10-17,0.8453673485714288,0.122
2003-10-18,0.8497254057142859,0.122
2003-10-19,0.8523631771428573,0.122
2003-10-20,0.8549372342857142,0.122
2003-10-21,0.8577534057142859,0.343
2003-10-22,1.7880354285714286,0.343
2003-10-23,1.788081142857143,0.343
2003-10-24,1.7881298571428572,0.343
2003-10-25,1.7881382857142858,0.343
2003-10-27,1.7881027142857142,0.343
2003-10-28,1.7880751428571429,0.563
2003-10-29,1.5435160142857145,0.538
2003-10-30,1.5435205857142855,0.563
2003-10-31,1.5434870142857142,0.563
2003-11-01,1.5434114428571426,0.563
2003-11-02,1.5433870142857142,0.318
2003-11-03,1.5434123,0.367
2003-11-04,1.5434055857142857,0.343
2003-11-05,2.4356138857142855,0.563
2003-11-06,2.435718742857143,0.563
2003-11-07,2.4357955999999996,0.587
2003-11-08,2.435809028571428,0.587
2003-11-09,2.435807742857143,0.343
2003-11-10,2.4358840285714285,0.343
2003-11-11,2.4363780285714287,0.343
2003-11-12,2.802133577142857,0.343
2003-11-13,2.834401462857143,0.318
2003-11-14,2.8615520914285715,0.343
2003-11-15,2.8830816914285715,0.122
2003-11-16,2.898851062857143,0.783
2003-11-17,2.930343405714286,0.343
2003-11-18,2.956115291428571,0.367
2003-11-19,2.8050202571428575,0.587
2003-11-20,2.8052071142857145,0.587
2003-11-21,2.8053982571428575,0.587
2003-11-22,2.805470257142858,0.587
2003-11-23,2.805535685714286,1.028
2003-11-24,3.1128205485714244,0.122
2003-11-25,4.102247448571428,0.587
2003-11-26,6.333723877142863,0.587
2003-11-27,7.066085348571432,0.587
2003-11-28,7.903759305714288,0.563
2003-11-29,8.513756677142863,0.587
2003-11-30,11.626695091428578,0.122
2003-12-01,11.69715364857143,3.621
2003-12-02,11.887187991428576,5.358
2003-12-03,12.250453262857146,8.025
2003-12-04,12.125693777142857,10.692
2003-12-05,11.300166977142856,10.814
2003-12-06,10.965860005714289,13.652
2003-12-07,10.959143034285717,13.407
2003-12-08,13.579532691428575,13.358
2003-12-09,14.442828691428575,13.456
2003-12-10,10.446061357142856,11.034
2003-12-11,10.299207357142858,11.107
2003-12-12,10.118821357142858,11.23
2003-12-13,10.251080857142856,11.425
2003-12-14,12.007117357142851,2.349
2003-12-15,11.23113435714286,4.037
2003-12-16,10.450555857142854,11.988
2003-12-17,16.43316426285714,19.499
2003-12-18,13.021927862857137,19.352
2003-12-19,9.411736662857152,19.548
2003-12-20,7.973283382857141,20.404
2003-12-21,6.906568282857143,20.796
2003-12-22,5.875905682857144,20.796
2003-12-23,5.38032488285714,12.208
2003-12-24,4.340437642857142,11.01
2003-12-25,4.285057642857143,9.101
2003-12-26,4.215442642857143,9.248
2003-12-27,4.148279071428571,7.951
2003-12-28,4.083441571428572,7.902
2003-12-29,4.069819428571429,5.529
2003-12-30,4.036168,5.48
2003-12-31,3.122860942857141,5.603
2004-01-01,2.9494050857142855,4.306
2004-01-02,2.9992782285714292,5.382
2004-01-03,3.170460457142858,4.942
2004-01-04,3.5517699714285698,4.869
2004-01-05,3.9814124285714274,3.181
2004-01-06,4.354580885714286,3.67
2004-01-07,4.398060914285714,2.153
2004-01-08,5.061188057142857,1.223
2004-01-09,5.752172885714283,1.272
2004-01-10,6.573752514285715,3.278
2004-01-11,6.894591828571428,7.56
2004-01-12,6.946690142857141,7.707
2004-01-13,7.014652742857144,7.78
2004-01-14,5.728342894285713,7.78
2004-01-15,5.896111808571427,7.756
2004-01-16,5.99024595142857,9.052
2004-01-17,5.717578579999999,11.328
2004-01-18,5.703211865714282,11.328
2004-01-19,5.801548808571427,11.401
2004-01-20,6.001953751428569,11.377
2004-01-21,7.534617718571432,9.713
2004-01-22,7.5809350471428605,9.958
2004-01-23,8.658562061428572,10.031
2004-01-24,12.097773532857143,9.566
2004-01-25,15.043418647142856,7.193
2004-01-26,15.189990304285717,10.667
2004-01-27,14.849930361428576,11.205
2004-01-28,11.02180752714286,11.23
2004-01-29,12.759797155714304,9.713
2004-01-30,16.773824127142866,0.563
2004-01-31,14.70966297000001,4.746
2004-02-01,12.032636812857149,13.065
2004-02-02,10.114608141428578,15.364
2004-02-03,8.368977598571437,16.368
2004-02-04,11.341638171428574,10.276
2004-02-05,10.475030628571432,12.208
2004-02-06,9.582159314285718,12.233
2004-02-07,8.668645257142856,13.945
2004-02-08,7.87830925714286,12.184
2004-02-09,7.0890393142857215,10.618
2004-02-10,6.340764114285714,10.594
2004-02-11,1.553044668571429,5.798
2004-02-12,1.7291494685714273,4.942
2004-02-13,2.0254474685714285,3.181
2004-02-14,2.327585868571429,1.517
2004-02-15,2.61302146857143,0.122
2004-02-16,2.8669114685714283,0.122
2004-02-17,3.1315150685714315,0.122
2004-02-18,2.7580281499999972,0.122
2004-02-19,3.4101225071428547,0.122
2004-02-20,3.462120649999999,2.422
2004-02-21,3.352595149999997,2.422
2004-02-22,3.613527007142864,2.104
2004-02-23,4.012101007142852,2.202
2004-02-24,4.442791507142853,1.395
2004-02-25,2.3051140557142844,1.321
2004-02-26,2.664239998571426,1.346
2004-02-27,3.0614254842857105,1.346
2004-02-28,3.825665984285714,1.346
2004-02-29,4.644678069999998,1.37
2004-03-01,5.357318612857138,1.321
2004-03-02,5.930895441428569,1.346
2004-03-03,6.421521984285716,1.346
2004-03-04,2.2323609714285704,1.37
2004-03-05,2.4729726285714286,1.321
2004-03-06,2.687506914285712,1.321
2004-03-07,2.8577179999999993,2.104
2004-03-08,2.8552185714285696,2.104
2004-03-09,2.9219949714285707,2.496
2004-03-10,2.9587782285714286,3.67
2004-03-11,5.525585208571442,3.572
2004-03-12,5.420633808571438,3.67
2004-03-13,5.2713724085714375,4.428
2004-03-14,5.094892008571435,4.502
2004-03-15,4.860049008571439,4.477
2004-03-16,4.729397808571434,3.67
2004-03-17,4.686986808571435,3.083
2004-03-18,2.6847542371428523,3.083
2004-03-19,2.700590680000001,3.45
